Song,Artist,Album,Genre,SongType,Tempo,Energy,Danceability,MoodLabel
Sunrise Smile,Luna Chase,Sunlit Canvas,Pop,Feel-Good Pop,128,0.82,0.88,Happy
Bright Skies,Neon Harbor,Blue Horizon,Pop,Feel-Good Pop,130,0.85,0.86,Happy
Golden Echo,Atlas Keys,Shimmer Trails,Dance,Electro Pop,124,0.8,0.9,Happy
Radiant Road,Velvet Avenue,City Lights,Pop,Feel-Good Pop,132,0.83,0.84,Happy
Celebrate Now,Urban Waves,Neon Stories,Dance,Party Anthem,138,0.87,0.92,Happy
Summer Mosaic,Jade Parade,Coastal Drive,Indie,Sunny Indie,126,0.78,0.82,Happy
Bloom Again,Coral Transit,Garden Hearts,Pop,Feel-Good Pop,134,0.86,0.9,Happy
Endless Parade,Metro Aurora,Open Streets,Dance,Festival Vibes,136,0.88,0.91,Happy
Sparkle Steps,Helio State,Playground Days,Disco,Nu Disco,122,0.81,0.89,Happy
Color Rush,Ruby Arcade,Lightspeed Love,Synthwave,Uplifting Synth,140,0.84,0.87,Happy
Rainy Window,Fading North,Dusk Letters,Acoustic,Emo Acoustic,68,0.35,0.42,Sad
Falling Leaves,Willow Reef,Autumn Pages,Folk,Melancholic Folk,72,0.4,0.5,Sad
Echoed Letters,Morning Haze,Paper Boats,Indie,Indie Ballad,74,0.38,0.46,Sad
Midnight Train,Harbor Lights,Moonlit Rails,Blues,Soul Blues,70,0.33,0.41,Sad
Distant Lights,Silver & Shore,Quiet Harbour,Classical,Modern Classical,66,0.3,0.35,Sad
Hollow Frames,Northwood Lines,Empty Gallery,Indie,Lo-Fi Ballad,76,0.36,0.44,Sad
Quiet Shelter,Birch Lanterns,Still Meadow,Acoustic,Singer-Songwriter,64,0.32,0.4,Sad
Fading Echo,Lonely Summit,Gray Horizon,Ambient,Drone Mood,62,0.28,0.33,Sad
Soft Collapse,River Atlas,Nocturne Sketch,Classical,Neo Classical,68,0.34,0.38,Sad
Teardrop Waltz,Vernal Shore,Letters Unsent,Folk,Slow Folk,70,0.37,0.43,Sad
Voltage Rush,Scarlet Trigger,Rust Empire,Rock,Hard Rock,146,0.92,0.6,Angry
Riot Pulse,Iron District,Steel Hearts,Metal,Thrash Metal,150,0.95,0.55,Angry
Storm Riser,Urban Voltage,Thunder Gates,Rock,Arena Rock,142,0.9,0.58,Angry
Grind Machine,Chrome Wolves,Factory Sparks,Metal,Industrial Metal,148,0.94,0.52,Angry
Break the Frame,Cobalt Riot,Wire City,Rock,Alternative Rock,144,0.91,0.57,Angry
Ember Scar,Grave Signal,Burn Theory,Metal,Progressive Metal,152,0.96,0.5,Angry
Shatterline,Carbon Alley,Fracture Stage,Rock,Post Grunge,140,0.89,0.59,Angry
Razor Crown,Obsidian Roar,Iron Parade,Metal,Heavy Metal,154,0.97,0.53,Angry
Crash Anthem,Voltage Alley,Impact Zone,Punk,Hard Punk,138,0.9,0.6,Angry
Static Fury,Torque Bloom,Feral Lights,Rock,Nu Metal,148,0.93,0.56,Angry
Acid Veil,Grime Serpent,Shadow District,Metal,Dark Metal,140,0.85,0.48,Disgusted
Bitter Glass,Scarred Mercy,Cinder Rooms,Industrial,Industrial Rock,136,0.82,0.45,Disgusted
Toxic Bloom,Rust Siren,Waste Flowers,Rock,Grunge,132,0.8,0.5,Disgusted
Cracked Halo,Steel Briar,Broken Chapel,Metal,Doom Metal,128,0.78,0.42,Disgusted
Sullen Ember,Gravel Choir,Black Static,Industrial,Darkwave,130,0.81,0.44,Disgusted
Rotten Lines,Dust Ritual,Vacant Hearts,Rock,Alt Metal,134,0.83,0.46,Disgusted
Venom Choir,Pitch Harbor,Severed Strings,Metal,Black Metal,142,0.88,0.4,Disgusted
Murky Pulse,Ashen Realm,Concrete Roses,Electronic,Dark Electro,126,0.76,0.47,Disgusted
Tainted Crown,Crimson Spoil,Faded Gold,Rock,Sludge Rock,138,0.86,0.43,Disgusted
Greyscale Vow,Null Atlas,Decay Stories,Industrial,Gothic Industrial,132,0.82,0.41,Disgusted
Evening Drive,Mono Canvas,Drift Notes,Indie,Chill Indie,110,0.55,0.64,Neutral
Open Skies,Coastline Echo,Daylight Lines,Pop,Easy Pop,108,0.58,0.7,Neutral
Glass Horizon,Aurora Signs,Quiet Signal,Ambient,Calm Ambient,100,0.5,0.5,Neutral
City Lanterns,Velvet Park,Night Market,Jazz,Lo-Fi Jazz,112,0.53,0.61,Neutral
Calm Currents,Tidal Paper,Breezy Ends,Chill,Lo-Fi Chill,104,0.52,0.58,Neutral
Meadow Circuit,Pixel Grove,Soft Switch,Indie,Dream Indie,106,0.54,0.62,Neutral
Gentle Transit,Metro Pines,Platform B,Pop,Soft Pop,114,0.57,0.65,Neutral
Steady Glow,Northern Relay,Paper Paths,Ambient,Soft Electronica,102,0.51,0.56,Neutral
Simple Frames,Harbor Pines,Pastel Lines,Acoustic,Acoustic Chill,98,0.48,0.52,Neutral
Parallel Coast,Static Meadow,Sunlit Lines,Synthwave,Calm Synth,116,0.59,0.68,Neutral
Shadow Whispers,Noir Tide,Hidden Corridors,Ambient,Dark Ambient,78,0.42,0.37,Fearful
Under the Veil,Mirage Steps,Silent Believers,Classical,Minimal Classical,82,0.45,0.4,Fearful
Night Signals,Delta Pulse,Phantom Relay,Electronic,Cinematic Pulse,88,0.5,0.44,Fearful
Silent Pulse,Grayscale Echo,Hollow City,Ambient,Ethereal Ambient,76,0.38,0.36,Fearful
Veiled Mirrors,Obsidian Bloom,Locked Rooms,Classical,Modern Score,84,0.47,0.39,Fearful
Breach Pattern,Cold Archive,Glass Vaults,Electronic,Tension Score,90,0.52,0.42,Fearful
Hollow Transit,Ruin Choir,Ghost Platform,Ambient,Drone Score,74,0.36,0.34,Fearful
Static Prayers,Murk Channel,Fading Sirens,Electronic,Dark Electronica,86,0.48,0.38,Fearful
Lunar Fracture,Orbit Husk,Shadow Season,Ambient,Soundscape,80,0.44,0.35,Fearful
Deep Signal,Fog Meridian,Empty Frequency,Electronic,Suspense Pulse,92,0.53,0.41,Fearful
Spark Flux,Prism District,Spectrum Bloom,Electronic,Future Bass,134,0.81,0.86,Surprised
Neon Bloom,Chrome Arcade,Crystal Drip,Synthwave,Retro Future,136,0.83,0.82,Surprised
Skyburst Parade,Metro Lights,Color Theory,Pop,Anthem Pop,140,0.79,0.8,Surprised
Flash Forward,Signal Theory,Light Speed,Electronic,Electro Pop,132,0.78,0.84,Surprised
Quantum Leap,Glacier Pulse,Mirage Circuit,Synthwave,Shimmer Synth,138,0.82,0.83,Surprised
Prism Dash,Neon Voyage,Satellite Bloom,Dance,Future House,142,0.84,0.88,Surprised
Sonic Confetti,Laser Arcade,Starlit Crowd,Pop,Festival Pop,144,0.86,0.85,Surprised
Turbo Canvas,Pixel Parade,Hyper Lanes,Electronic,Chiptune Fusion,130,0.77,0.82,Surprised
Aurora Drop,Crystal Harbor,Elevate Dreams,Dance,Progressive Dance,146,0.85,0.87,Surprised
Electric Bloom,Cosmo Relay,Glitter Path,Synthwave,Future Disco,148,0.88,0.86,Surprised
